aaeinort                 | aaronite, aeration
aacilmrrtu               | matricular, trimacular
acilmnorty               | matrocliny, romanticly
aaimnorttu               | maturation, natatorium
ceemnooprt               | mecopteron, protocneme
adeeimrsst               | mediatress, streamside
adegimopsu               | megapodius, pseudimago
aellmopsty               | meloplasty, myeloplast
eelmorstty               | metrostyle, stylometer
cchiimorrt               | microcrith, trichromic
acghimopry               | microphagy, myographic
cehimnoopr               | microphone, neomorphic
ceimmoorst               | microstome, osmometric
aeeeimnnrt               | minnetaree, nemertinea
efimmoprrs               | misperform, preformism
egimnnoost               | monogenist, nomogenist
egmnnooosu               | monogenous, nomogenous
aghmnoopry               | monography, nomography
aelmnooprt               | monopteral, protonemal
ehimmnoost               | monotheism, nomotheism
ehimnoostt               | monotheist, thomsonite
cehimnoott               | monothetic, nomothetic
acimoorstu               | mortacious, urosomatic
aaimnorrtu               | mortuarian, muratorian
adeimnorst               | mosandrite, tarsonemid
adehmorrtw               | motherward, threadworm
cemoorssuu               | mucoserous, seromucous
cceeemnstu               | mutescence, tumescence
aiilmnottu               | mutilation, ultimation
celmoorsty               | mycosterol, sclerotomy
acilmopsty               | myoplastic, polymastic
aeiilmrrty               | myrialiter, myrialitre
aeeimmrrty               | myriameter, myriametre
eeghmnorty               | mythogreen, thermogeny
eghlmoorty               | mythologer, thermology
aaelnopsst               | nasoseptal, septonasal
aaceiinnrt               | natricinae, nectarinia
aciinrsttu               | naturistic, unartistic
aaceilnruv               | naviculare, uncavalier
ceelnooprs               | necropoles, preconsole
cceimnoort               | necrotomic, oncometric
aceinorstu               | nectarious, recusation
aceeiklnrt               | nectarlike, trancelike
aegiimnstv               | negativism, timesaving
eeeginnoss               | neogenesis, noegenesis
ceeeginnot               | neogenetic, noegenetic
ehiilmnops               | neophilism, philoneism
aceilnopst               | neoplastic, pleonastic
eehinnorst               | neornithes, rhinestone
eghlnoopry               | nephrology, phrenology
eehmnooprt               | nephrotome, phonometer
ehmnooprty               | nephrotomy, phonometry
abelnorstu               | neuroblast, unsortable
eilnorssuy               | neurolysis, resinously
aeilmnrstu               | neutralism, trimensual
aciiinnnot               | nicotianin, nicotinian
aeimnnortu               | nominature, numeration
deeinnortu               | nonerudite, unoriented
acehinnopt               | nonhepatic, pantheonic
eeennorrsv               | nonreserve, nonreverse
aagilnnnov               | nonvaginal, novanglian
aaillnorty               | notarially, rationally
eellnossty               | notelessly, tonelessly
enooprsttu               | notopterus, portentous
aghinnostw               | nowanights, washington
cefinorsuu               | nuciferous, unciferous
chiinnopsu               | nuncioship, pincushion
acceinoors               | occasioner, reoccasion
acenooprsu               | oenocarpus, uranoscope
aacehiorst               | oireachtas, theocrasia
acegilloos               | oligoclase, sociolegal
aceiloosuv               | olivaceous, violaceous
ceeilnostv               | olivescent, violescent
cfiimnoors               | onisciform, somnorific
aeiinoprst               | opiniaster, opiniastre
eeimooprst               | opisometer, opsiometer
aehinoprst               | opisthenar, spheration
aghoopprty               | optography, topography
gilooopstt               | optologist, topologist
acgiimnors               | organicism, organismic
acgiinorst               | organicist, organistic
aeemnnorrt               | ornamenter, reornament
cciinooprs               | orniscopic, scorpionic
accimoostt               | osmotactic, scotomatic
eemoorstty               | osteometry, stereotomy
bdelnortuu               | outblunder, untroubled
eimooprstu               | outpromise, peritomous
ghhoorttuu               | outthrough, throughout
aceinoortv               | overaction, revocation
aceeiortvv               | overactive, revocative
bdeenorruv               | overburden, overburned
adeeorrrvw               | overdrawer, overreward
eefloorrvw               | overflower, reoverflow
aeegiorrtv               | overgaiter, revigorate
eiinorsstv               | overinsist, versionist
eeilnorstv               | overlisten, oversilent
aeelmnortv               | overmantel, overmantle
aeemorrstv               | overmaster, overstream
adeeoprrsv               | overspread, spreadover
aeinorrstv               | overstrain, traversion
aehorrttvw               | overthwart, thwartover
acehilnopt               | pachnolite, phonetical
aceehmoprt               | pachometer, phacometer
achilopssy               | pachylosis, phacolysis
accfiiipst               | pacificist, pacifistic
aaeilnoprs               | palaeornis, personalia
aaeilmnprt               | palermitan, parliament
adiilnopst               | palinodist, plastinoid
adeeimnprt               | pandermite, pentamerid
aaciilppst               | papalistic, papistical
aaacdiiprs               | paradisaic, paradisiac
aaaeilnprt               | parentalia, planetaria
aciooprstt               | parostotic, postaortic
aaimoprruv               | parovarium, vaporarium
cdeekooprw               | peckerwood, woodpecker
adeeilprst               | pedestrial, pilastered
abeeelnprt               | penetrable, repentable
aceeennprt               | penetrance, repentance
ceeeinnprt               | penitencer, pertinence
adeilnnptu               | pennatulid, pinnulated
eeimnnpstu               | pennisetum, septennium
ceeinopprt               | perception, preception
ceeeipprtv               | perceptive, preceptive
aceelpprtu               | perceptual, preceptual
ccehiloprr               | perchloric, prechloric
ceilnoprsu               | perculsion, preclusion
ceeilprsuv               | perculsive, preclusive
ceenprrrtu               | percurrent, precurrent
ceoprrrsuy               | percursory, precursory
aefmnoprrt               | performant, preformant
aceilnprtu               | periculant, unprelatic
aeeiloprst               | periosteal, praseolite
aeilopprrt               | periportal, peritropal
aceeilprrt               | perirectal, prerecital
aceilopprs               | periscopal, sapropelic
eehimnprst               | perishment, reshipment
aeilmoprst               | peristomal, prestomial
eiloprssty               | peristylos, pterylosis
ceeilnoprt               | perlection, prelection
aegillnpru               | perlingual, prelingual
aeeimnoprt               | permeation, preominate
eeimprrtux               | permixture, premixture
eeinoprrsv               | perversion, preversion
acdeiilpst               | pesticidal, septicidal
eeiinoprtt               | petitioner, repetition
acehhinopt               | phaethonic, theophanic
hiiloopstz               | philozoist, zoophilist
aceehinnop               | phocaenine, phoenicean
ehhnoooppt               | phonophote, photophone
adehinoopr               | phoronidea, radiophone
eehmooprtt               | photometer, prototheme
adhilllopy               | phyllodial, phylloidal
achioprsty               | physiocrat, psychotria
eehmoprtty               | phytometer, thermotype
ehmoprttyy               | phytometry, thermotypy
ahmnoopsty               | phytomonas, somnopathy
aegiilnopt               | pigeontail, plagionite
ceeiiklnpr               | pincerlike, princelike
eiinoprsst               | pirssonite, trispinose
aiillprsty               | pistillary, spiritally
aadillmops               | plasmodial, psalmodial
adeilmopst               | plastidome, postmedial
aeillnnpru               | plenilunar, plurennial
